titre|annee|duree|genre|tomatometer|audience_score|url_tomatoes
My Neighbor Totoro|1988|86|Animation, Family, Fantasy|94|94|https://www.rottentomatoes.com/m/my_neighbor_totoro
Die Hard|1988|132|Action, Thriller|94|94|https://www.rottentomatoes.com/m/die_hard
Ran|1985|162|Action, Drama, War|96|95|https://www.rottentomatoes.com/m/ran
Raging Bull|1980|129|Biography, Drama, Sport|94|93|https://www.rottentomatoes.com/m/raging_bull
Autumn Sonata|1978|99|Drama, Music|86|92|https://www.rottentomatoes.com/m/autumn_sonata
Taxi Driver|1976|114|Crime, Drama|96|93|https://www.rottentomatoes.com/m/taxi_driver
Monty Python and the Holy Grail|1975|91|Adventure, Comedy, Fantasy|97|95|https://www.rottentomatoes.com/m/monty_python_and_the_holy_grail
Chinatown|1974|130|Drama, Mystery, Thriller|99|93|https://www.rottentomatoes.com/m/chinatown
Z|1969|127|Crime, Drama, History|94|93|https://www.rottentomatoes.com/m/z
For a Few Dollars More|1965|132|Western|92|94|https://www.rottentomatoes.com/m/for_a_few_dollars_more
The Great Escape|1963|172|Adventure, Drama, History|94|95|https://www.rottentomatoes.com/m/the_great_escape
Yojimbo|1961|110|Action, Drama, Thriller|95|96|https://www.rottentomatoes.com/m/yojimbo
Judgment at Nuremberg|1961|179|Drama, War|92|93|https://www.rottentomatoes.com/m/judgment_at_nuremburg
Some Like It Hot|1959|121|Comedy, Music, Romance|94|94|https://www.rottentomatoes.com/m/some_like_it_hot
Wild Strawberries|1957|91|Drama, Romance|96|94|https://www.rottentomatoes.com/m/wild_strawberries
The Seventh Seal|1957|96|Drama, Fantasy, History|94|93|https://www.rottentomatoes.com/m/seventh_seal
Dial M for Murder|1954|105|Crime, Thriller|89|92|https://www.rottentomatoes.com/m/dial_m_for_murder
Tokyo Story|1953|136|Drama|100|93|https://www.rottentomatoes.com/m/tokyo_story
Rashomon|1950|88|Crime, Drama, Mystery|98|93|https://www.rottentomatoes.com/m/rashomon
All About Eve|1950|138|Drama|99|94|https://www.rottentomatoes.com/m/1000626-all_about_eve
The Treasure of the Sierra Madre|1948|126|Adventure, Drama, Western|100|93|https://www.rottentomatoes.com/m/treasure_of_the_sierra_madre
To Be or Not to Be|1942|99|Comedy, Romance, War|96|93|https://www.rottentomatoes.com/m/to_be_or_not_to_be
The Gold Rush|1925|95|Adventure, Comedy, Drama|100|93|https://www.rottentomatoes.com/m/the_gold_rush
Sherlock Jr.|1924|45|Action, Comedy, Romance|92|95|https://www.rottentomatoes.com/m/sherlock-jr
Three Billboards Outside Ebbing, Missouri|2017|115|Comedy, Crime, Drama|90|87|https://www.rottentomatoes.com/m/three_billboards_outside_ebbing_missouri
The Handmaiden|2016|145|Drama, Romance, Thriller|95|91|https://www.rottentomatoes.com/m/the_handmaiden
Logan|2017|137|Action, Drama, Sci-Fi|93|90|https://www.rottentomatoes.com/m/logan_2017
Room|2015|118|Drama, Thriller|93|93|https://www.rottentomatoes.com/m/room_2015
Wild Tales|2014|122|Comedy, Drama, Thriller|94|92|https://www.rottentomatoes.com/m/wild_tales
The Grand Budapest Hotel|2014|99|Adventure, Comedy, Crime|92|86|https://www.rottentomatoes.com/m/the_grand_budapest_hotel
Gone Girl|2014|149|Drama, Mystery, Thriller|87|87|https://www.rottentomatoes.com/m/gone_girl
Hacksaw Ridge|2016|139|Biography, Drama, History|84|91|https://www.rottentomatoes.com/m/hacksaw_ridge
Inside Out|2015|95|Animation, Adventure, Comedy|98|89|https://www.rottentomatoes.com/m/inside_out_2015
12 Years a Slave|2013|134|Biography, Drama, History|95|90|https://www.rottentomatoes.com/m/12_years_a_slave
Rush|2013|123|Action, Biography, Drama|89|88|https://www.rottentomatoes.com/m/rush_2013
Ford v Ferrari|2019|152|Action, Biography, Drama|92|98|https://www.rottentomatoes.com/m/ford_v_ferrari
Spotlight|2015|129|Biography, Crime, Drama|97|93|https://www.rottentomatoes.com/m/spotlight_2015
Prisoners|2013|153|Crime, Drama, Mystery|81|87|https://www.rottentomatoes.com/m/prisoners_2013
